Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
SPY,SPDR S&P 500 ETF,Equity,"$317,197,669,003.00 ",1.97%,"55,283,652",$328.19 ,0.23%,No,No,1.15%,3.20%,28.44%,53.00%,80.30%,"$4,338,192,530.00 ","$2,297,763,282.00 ","$8,951,316,252.50 ","$8,647,049,456.00 ","$9,924,447,241.00 ","$15,595,005,179.14 ",Large Cap Growth Equities,1993-01-22,0.09%,N/A,$5.62 ,2019-12-20,$1.57 ,1.72%,19.67,1,506,23.18%,35%,15%,1099,$317.12 ,$328.75 ,$327.29 ,$329.05 ,70.38,A,A+,A,B+,B,A-,B+,5.69,60.41%,55.22%,178.6,11.83%,5.14%
VTI,Vanguard Total Stock Market ETF,Equity,"$142,216,506,836.00 ",2.01%,"2,584,262",$166.91 ,0.25%,No,No,1.21%,3.18%,27.49%,50.63%,77.18%,"$1,421,744,044.78 ","$483,445,599.35 ","$1,944,810,792.18 ","$16,066,965,929.38 ","$34,333,656,623.76 ","$47,528,887,906.19 ",Large Cap Growth Equities,2001-05-31,0.03%,2 Platforms,$2.90 ,2019-12-24,$0.89 ,1.74%,21.9,1.02,1578,19.17%,35%,15%,1099,$161.29 ,$167.06 ,$166.42 ,$167.40 ,71.32,A+,A+,A,B+,B+,A-,A+,5.35,36.61%,46.21%,177.58,10.51%,5.38%
QQQ,Invesco QQQ,Equity,"$90,863,246,611.00 ",3.56%,"20,378,144",$220.17 ,0.04%,No,No,1.39%,5.29%,36.70%,83.42%,128.53%,"$601,501,945.00 ","$64,644,184.00 ","($32,122,747.50)","$4,966,033,677.50 ","$13,862,029,110.50 ","$12,116,247,058.50 ",Large Cap Growth Equities,1999-03-10,0.20%,N/A,$1.58 ,2019-12-23,$0.46 ,0.72%,22.66,1.16,104,53.04%,35%,15%,1099,$207.28 ,$221.69 ,$219.35 ,$221.10 ,73.03,A-,A+,A-,A-,C+,B,B,5.59,49.83%,51.94%,45.99,9.67%,7.69%
VEA,Vanguard FTSE Developed Markets ETF,Equity,"$79,712,908,503.00 ",0.57%,"7,584,367",$44.31 ,-0.07%,No,No,0.66%,1.41%,18.21%,28.54%,38.19%,"$406,035,952.36 ","$400,405,802.68 ","$1,240,996,264.41 ","$2,164,020,961.92 ","$28,373,646,898.10 ","$46,101,067,579.71 ",Foreign Large Cap Equities,2007-07-26,0.05%,2 Platforms,$1.34 ,2019-12-23,$0.44 ,3.03%,15.7,0.85,1845,9.23%,35%,15%,1099,$43.61 ,$44.39 ,N/A,N/A,62.78,A,A,A,A-,B,A-,A,6.71,41.22%,81.40%,168.39,10.09%,6.17%
IEFA,iShares Core MSCI EAFE ETF,Equity,"$74,304,974,744.00 ",0.58%,"8,184,455",$65.62 ,-0.09%,No,No,0.43%,1.19%,18.65%,29.88%,39.38%,$0.00 ,$0.00 ,"$298,579,790.00 ","$11,404,441,810.00 ","$52,505,514,904.00 ","$66,105,851,590.00 ",Foreign Large Cap Equities,2012-10-18,0.07%,Fidelity,$2.08 ,2019-12-16,$0.88 ,3.17%,15.8,0.83,2450,9.88%,35%,15%,1099,$64.71 ,$65.77 ,$65.53 ,$65.72 ,61.21,A+,A,A,N/A,B+,B+,A,6.9,52.70%,84.39%,146.32,10.92%,7.06%
VWO,Vanguard FTSE Emerging Markets ETF,Equity,"$68,465,326,567.00 ",2.07%,"10,912,190",$45.39 ,-0.63%,No,No,1.27%,2.99%,18.09%,32.71%,30.92%,"$5,563,564.37 ","$3,281,378.44 ","$8,155,818.82 ","$2,684,672,857.42 ","$11,412,438,894.48 ","$15,906,811,763.35 ",Emerging Markets Equities,2005-03-10,0.12%,3 Platforms,$1.44 ,2019-12-23,$0.56 ,3.16%,13.3,0.88,1619,22.62%,35%,15%,1099,$43.58 ,$45.79 ,$45.27 ,$45.55 ,65.96,A,A,A,B+,B,B+,A+,4.06,24.64%,19.33%,351.18,2.57%,3.82%
EFA,iShares MSCI EAFE ETF,Equity,"$64,845,732,042.00 ",0.63%,"21,550,716",$69.88 ,0.00%,No,No,0.47%,1.08%,18.21%,28.24%,35.56%,$0.00 ,$0.00 ,"$249,037,884.00 ","($7,164,363,774.00)","($8,142,949,542.00)","$2,504,130,048.00 ",Foreign Large Cap Equities,2001-08-14,0.32%,N/A,$2.15 ,2019-12-16,$0.78 ,3.08%,15.83,0.84,918,11.60%,35%,15%,1099,$68.95 ,$69.98 ,N/A,N/A,61.29,A,A+,A-,A-,B,B+,A,7.12,65.95%,87.41%,147.93,12.18%,6.81%
IEMG,iShares Core MSCI Emerging Markets ETF,Equity,"$63,728,294,742.00 ",1.79%,"13,074,028",$54.72 ,-0.78%,No,No,1.48%,2.70%,15.36%,33.93%,32.34%,"$650,781,228.00 ","$425,290,242.00 ","$938,670,660.00 ","$4,721,880,348.00 ","$37,416,176,754.00 ","$51,061,997,906.00 ",Emerging Markets Equities,2012-10-18,0.14%,Fidelity,$1.69 ,2019-12-16,$1.20 ,3.07%,12.72,0.89,2467,22.37%,35%,15%,1099,$52.65 ,$55.22 ,$54.57 ,$54.95 ,64.47,A,A,A,B+,B+,B,A,4.06,24.42%,19.26%,328.76,2.88%,4.14%
VTV,Vanguard Value ETF,Equity,"$55,796,071,836.00 ",0.50%,"1,373,100",$120.45 ,0.16%,No,No,0.84%,1.31%,21.92%,39.03%,66.18%,"$101,792,119.14 ","$8,063,501.94 ","$29,427,925.05 ","$4,456,854,871.70 ","$18,094,079,900.13 ","$25,563,795,018.85 ",Large Cap Blend Equities,2004-01-30,0.04%,2 Platforms,$3.00 ,2019-12-24,$0.91 ,2.50%,17.7,0.95,326,23.02%,35%,15%,1099,$118.89 ,$120.52 ,$120.07 ,$120.78 ,64.74,A,A,A,A-,B+,B+,A-,5.35,36.65%,46.22%,301.09,13.90%,5.74%
IJH,iShares Core S&P Mid-Cap ETF,Equity,"$54,063,802,360.00 ",0.69%,"839,045",$207.23 ,0.13%,No,No,1.18%,1.58%,19.73%,28.91%,57.21%,"$41,139,929.00 ","$123,237,840.00 ","($358,595,366.00)","$1,933,740,573.00 ","$8,082,068,434.50 ","$15,778,190,072.00 ",Small Cap Growth Equities,2000-05-22,0.06%,2 Platforms,$3.35 ,2019-12-16,$0.91 ,1.62%,19.8,1.06,401,6.33%,35%,15%,1099,$203.58 ,$207.15 ,$206.38 ,$208.09 ,65.26,A-,A,A,B-,B,B-,B+,4.21,55.62%,21.47%,189.44,5.27%,5.17%
